@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5616,CE02SHBP,LJ01D,05-ADCPTB104,streamed,adcp_velocity_beam,2014-09-10 15:43:00+00:00,2015-08-01 00:00:00+00:00,Data from this ADCP have not been corrected to use the true heading instead of the internal compass. Raw data in beam coordinates from deployment 1 (2014-15) should be corrected using the instrument's beam 3 heading: 129 degrees. Future algorithm updates will incorporate the as-deployed heading information and make this correction prior to data delivery.,False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,268,CE02SHBP,LJ01D,09-PCO2WB103,streamed,pco2w_b_sami_data_record,2014-09-25 20:05:10.133000+00:00,2019-01-10 00:00:00+00:00,"* UPDATED, 2019-01-15: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1 pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at  https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py. *

Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[931]
.AnnotationRecord,3780,CE02SHBP,LJ01D,10-PHSEND103,,,2014-10-11 21:00:00+00:00,2015-04-01 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,957,CE02SHBP,LJ01D,06-CTDBPN106,,ctdbp_no_sample,2014-11-04 16:05:52+00:00,2014-11-05 19:04:12+00:00,Reason unkown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,958,CE02SHBP,LJ01D,06-CTDBPN106,,ctdbp_no_sample,2014-11-14 18:23:38+00:00,2014-11-17 18:05:43+00:00,Reason unknown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,956,CE02SHBP,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,friedrich.knuth@rutgers.edu,,[]
.AnnotationRecord,959,CE02SHBP,LJ01D,06-CTDBPN106,,ctdbp_no_sample,2014-12-07 20:59:40+00:00,2014-12-16 22:38:15+00:00,"PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3808,CE02SHBP,LJ01D,09-PCO2WB103,,,2014-12-08 00:00:00+00:00,2015-01-09 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,955,CE02SHBP,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,friedrich.knuth@rutgers.edu,,[]
.AnnotationRecord,954,CE02SHBP,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,friedrich.knuth@rutgers.edu,,[]
.AnnotationRecord,960,CE02SHBP,LJ01D,06-CTDBPN106,,ctdbp_no_sample,2015-01-31 23:59:59+00:00,2015-02-03 09:56:42+00:00,Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3809,CE02SHBP,LJ01D,09-PCO2WB103,,,2015-02-01 03:00:00+00:00,2015-02-03 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,961,CE02SHBP,LJ01D,06-CTDBPN106,,ctdbp_no_sample,2015-02-26 16:51:09+00:00,2015-03-02 20:23:28+00:00,Reason unknown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,4554,CE02SHBP,LJ01D,06-DOSTAD106,,,2015-03-02 20:18:00+00:00,2015-03-30 18:19:00+00:00,Onboard-calculated and phase-derived oxygen values are both incorrect during this time period. Do not use.,False,m.vardaro@gmail.com,fail,[]
