@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,269,CE04OSBP,LJ01C,09-PCO2WB104,streamed,pco2w_b_sami_data_record,2014-08-25 21:05:10.134000+00:00,2019-01-10 00:00:00+00:00,"* UPDATED, 2019-01-15: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1 pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at  https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py. *

Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[931]
.AnnotationRecord,1013,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2014-08-31 19:13:27+00:00,2014-09-22 22:42:44+00:00,Reason unknown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3857,CE04OSBP,LJ01C,10-PHSEND107,,,2014-08-31 21:00:00+00:00,2014-09-22 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3831,CE04OSBP,LJ01C,09-PCO2WB104,,,2014-08-31 21:00:00+00:00,2014-09-23 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3858,CE04OSBP,LJ01C,10-PHSEND107,,,2014-09-30 09:00:00+00:00,2014-10-05 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3859,CE04OSBP,LJ01C,10-PHSEND107,,,2014-10-06 12:00:00+00:00,2014-10-08 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3860,CE04OSBP,LJ01C,10-PHSEND107,,,2014-10-10 12:00:00+00:00,2014-11-10 20:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1014,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2014-11-04 16:05:51+00:00,2014-11-05 18:56:20+00:00,Reason unknown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3768,CE04OSBP,LJ01C,10-PHSEND107,,,2014-11-10 20:00:00+00:00,2015-08-04 01:00:00+00:00,Instrument stopped responding to commands and was powered off.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,1015,CE04OSBP,LJ01C,06-CTDBPO108,streamed,ctdbp_no_sample,2014-11-14 18:36:38+00:00,2014-11-17 18:03:22+00:00,Reason unknown.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,971,CE04OSBP,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
