@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,1029,CE04OSPD,DP01B,01-CTDPFL105,recovered_inst,dpc_ctd_instrument_recovered,2014-08-16 23:30:00+00:00,2014-08-30 00:00:00+00:00,Pending purge and reingest. Contact help@oceanobservatories.org for additional information.,False,knuth@marine.rutgers.edu,pending_ingest,[]
.AnnotationRecord,1030,CE04OSPD,DP01B,01-CTDPFL105,recovered_wfp,dpc_ctd_instrument_recovered,2014-08-16 23:30:00+00:00,2015-07-23 00:00:00+00:00,Limited data availability. Pending purge and reingest. Contact help@oceanobservatories.org for additional information.,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,5956,CE04OSPD,DP01B,03-FLCDRA103,,dpc_flcdrtd_instrument_recovered,2014-08-16 23:30:00+00:00,2024-08-27 18:25:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[2846]
.AnnotationRecord,1027,CE04OSPD,DP01B,01-CTDPFL105,,,2014-08-30 00:00:00+00:00,2015-07-23 00:00:00+00:00,Profiler not operational due to docking station overcurrent,False,knuth@marine.rutgers.edu,not_operational,[]
.AnnotationRecord,1026,CE04OSPD,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1025,CE04OSPD,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1024,CE04OSPD,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1023,CE04OSPD,,,,,2015-03-21 14:10:00+00:00,2015-03-22 04:20:00+00:00,Note: PNWGP outage due to City of Seattle fiber cable work,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1022,CE04OSPD,,,,,2015-06-13 00:00:00+00:00,2015-06-15 16:30:00+00:00,Note: Network issues due to fire that damaged fibers between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1028,CE04OSPD,DP01B,01-CTDPFL105,,,2015-07-25 21:40:03+00:00,2015-10-28 21:05:06+00:00,Comm issues,False,knuth@marine.rutgers.edu,not_operational,[]
