@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,2478,CE04OSPS,SF01B,4F-PCO2WA102,streamed,pco2w_a_sami_data_record,2014-08-30 21:51:00+00:00,2015-08-02 00:00:00+00:00,A ground fault required the instrument to be powered off for the duration of this deployment.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3772,CE04OSPS,SF01B,,,,2014-08-30 21:51:00+00:00,2015-08-02 00:00:00+00:00,Node powered down due to ground faults.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,5952,CE04OSPS,SF01B,3A-FLORTD104,streamed,flort_d_data_record,2014-08-30 21:51:00+00:00,2025-07-03 00:00:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[23]
.AnnotationRecord,1031,CE04OSPS,PC01B,4A-CTDPFA109,,,2014-11-04 16:05:39+00:00,2014-11-05 19:25:40+00:00,Note: Data gap under investigation,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,3771,CE04OSPS,PC01B,4D-PCO2WA105,,,2014-11-04 18:00:00+00:00,2015-01-08 18:00:00+00:00,Instrument offline.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,1032,CE04OSPS,PC01B,4A-CTDPFA109,,,2014-11-06 00:25:49+00:00,2015-01-08 18:28:52+00:00,Note: Data gap under investigation,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1033,CE04OSPS,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1034,CE04OSPS,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1035,CE04OSPS,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,3897,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-01-31 03:00:00+00:00,2015-02-05 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1036,CE04OSPS,PC01B,4A-CTDPFA109,streamed,ctdpf_optode_sample,2015-03-07 23:06:04+00:00,2015-03-09 07:39:57+00:00,Data gap under investigation,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3898,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-03-08 03:00:00+00:00,2015-03-09 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1037,CE04OSPS,,,,,2015-03-21 14:10:00+00:00,2015-03-22 04:20:00+00:00,Note: Intermittent data gaps. PNWGP outage due to City of Seattle fiber cable work,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1038,CE04OSPS,,,,,2015-06-13 00:00:00+00:00,2015-06-15 16:30:00+00:00,Note: Intermittent data gaps. Network issues due to fire that damaged fibers between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1039,CE04OSPS,PC01B,4A-CTDPFA109,,,2015-07-01 00:00:00+00:00,2015-08-06 00:00:00+00:00,Note: Instrument operational  up to July 1 2015. Unknown status between July 1 and Aug 6 2015,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,3899,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-07-15 15:00:00+00:00,2015-08-05 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1040,CE04OSPS,SF01B,2A-CTDPFA107,streamed,,2015-08-03 02:21:00+00:00,2016-07-18 00:00:00+00:00,"All CTD data from this 2015-2016 deployment are suspect due to flow issues, which indicate a possible pump failure. Investigation is ongoing.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,205,CE04OSPS,PC01B,4A-CTDPFA109,streamed,ctdpf_optode_sample,2015-08-03 05:41:00+00:00,2016-07-18 00:00:00+00:00,"Due to errors during vendor calibration, a calibration offset (CC_offset) of -5.43 is being applied during the on-demand creation of the L1 Seawater Pressure (dbar) data product from this instrument. For more information please contact help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[909]
.AnnotationRecord,802,CE04OSPS,SF01B,4B-VELPTD106,,,2015-08-03 15:22:05+00:00,,"According to the manufacturer, data are suspect when the instrument is tilted more than 20 degrees (measured by pitch and roll).",False,lgarzio@marine.rutgers.edu,,[]
.AnnotationRecord,289,CE04OSPS,SF01B,4F-PCO2WA102,streamed,pco2w_a_sami_data_record,2015-08-03 16:05:10.343000+00:00,2019-01-10 00:00:00+00:00,"* UPDATED, 2019-01-15: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1 pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at  https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py. *

Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[931]
