@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5955,RS01SBPD,DP01A,03-FLCDRA102,,dpc_flcdrtd_instrument_recovered,2014-08-23 05:55:50+00:00,2024-08-23 05:30:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[2846]
.AnnotationRecord,18,RS01SBPD,DP01A,06-DOSTAD104,,,2016-08-09 00:00:00+00:00,2017-08-09 00:00:00+00:00,"EDIT: Due to errors during vendor calibration, there were issues with the onboard-calculated O2 products during this deployment. The calibration files have been corrected, and the O2 values derived using the external OOI Stern-Volmer-Uchida algorithm [DO from Phase (L1 product) and DO from Phase - Corrected (L2 product)] should be considered valid.",False,,suspect,[]
.AnnotationRecord,2442,RS01SBPD,DP01A,02-VEL3DA103,recovered_wfp,dpc_acm_instrument_recovered,2019-07-07 06:01:11+00:00,2020-03-31 00:00:00+00:00,Instrument failed.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2441,RS01SBPD,DP01A,02-VEL3DA103,recovered_inst,dpc_acm_instrument_recovered,2019-07-07 06:01:11+00:00,2020-03-31 00:00:00+00:00,Instrument failed,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2511,RS01SBPD,DP01A,,,,2019-07-20 04:42:10+00:00,2020-03-31 00:00:00+00:00,"The profiler was running, but no instrument data were being collected after 7/20/2019",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2358,RS01SBPD,,,,,2020-05-09 05:16:00+00:00,2020-06-01 21:38:00+00:00,"On 8 May 2020 at approximately 10:15 pm PDT, the Power Feed Equipment (PFE) at the shore station in Pacific City, OR shut down due to a critical alarm in the chilled water system that provides cooling to the PFE. This resulted in the automatic protective shutdown of the primary power source for the Regional Cabled Array, which meant the system was not collecting data.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2329,RS01SBPD,,,,,2020-08-18 01:24:00+00:00,2020-08-20 20:35:00+00:00,"On 17 August 2020, at ~1824 hours PDT, the south cable line went offline due to an over-current event. Investigations into the source of the outage were initiated immediately. Following initial tests, on 20 August 2020, at ~1200 hours PDT, power was restored to Primary Node PN1A. The Slope Base site and all infrastructure at Slope Base is now operational, including the shallow and deep profilers.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2331,RS01SBPD,,,,,2020-08-25 14:57:00+00:00,2020-08-26 15:44:00+00:00,"On 25 August 2020, beginning ~ 0900 hours PDT, a ~1-day test of the south cable line was initiated to help refine the fault localization. This required stopping data collection for the duration of the test at the Slope Base site. Data collection began again as soon as this test was completed.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2523,RS01SBPD,,,,,2020-09-16 18:15:16+00:00,2021-08-04 20:20:00+00:00,"Profiling stopped due to motor failure, which led to a drained battery.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2533,RS01SBPD,,,,,2020-09-22 14:01:58+00:00,2020-09-23 00:11:00+00:00,Chiller issue during failover testing,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2526,RS01SBPD,,,,,2020-11-02 00:11:32+00:00,2020-11-02 23:41:21+00:00,On Oct 31st the Southern Line was powered down in order to attempt localization of the shunt fault and plan repairs. Primary Node 1A was returned to operation on Nov 22nd.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2637,RS01SBPD,,,,,2021-01-13 10:35:58+00:00,2021-01-15 18:34:40+00:00,"Adverse weather in Pacific City, OR on 13 Jan 2021 resulted in multiple loss of power events at the cable shore station. This resulted in a fault in the emergency diesel control system and loss of power to the Cabled Array. NMS server issues were resolved and power began to be restored on 15 Jan.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3245,RS01SBPD,DP01A,,,,2021-09-04 18:09:00+00:00,2022-08-27 00:49:45+00:00,"Lost all communications with the profiler vehicle, although behavior of the charging system suggests that the vehicle is still in the dock. Instruments offline until the battery charger can be tested.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3273,RS01SBPD,,,,,2021-10-05 13:45:00+00:00,2021-10-06 20:19:00+00:00,"At 06:37 PDT, power to the observatory went down due to a pump failure in Chiller #1. Chiller #2 did pick up the load, but not in time for power to automatically shut down to prevent the system from overheating.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3312,RS01SBPD,,,,,2021-11-01 15:27:00+00:00,2021-11-06 00:00:00+00:00,The observatory was taken offline for a planned outage at 08:00PDT 2021-11-01 in order to perform a series of DAS experiments using the fiber optic cables and for system maintenance.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4228,RS01SBPD,,,,,2022-06-08 03:04:00+00:00,2022-06-17 22:10:00+00:00,The south line was powered down temporarily as part of the successful PN01B redeployment.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4392,RS01SBPD,DP01A,02-VEL3DA103,,,2022-08-29 00:00:00+00:00,2023-04-27 13:58:14+00:00,The VEL3D on the DP01A deep profiler vehicle failed at or before initial power on for the 2022-2023 deployment year. The operational status has been changed to FAILED.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4391,RS01SBPD,DP01A,02-VEL3DA103,recovered-wfp,,2022-08-29 00:07:00+00:00,,The VEL3D on the DP01A deep profiler vehicle failed at or before initial power on for the 2022-2023 deployment year. The operational status has been changed to FAILED.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4390,RS01SBPD,DP01A,02-VEL3DA103,recovered-inst,,2022-08-29 00:07:00+00:00,,The VEL3D on the DP01A deep profiler vehicle failed at or before initial power on for the 2022-2023 deployment year. The operational status has been changed to FAILED.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4537,RS01SBPD,,,,,2022-11-29 20:38:00+00:00,2022-12-01 23:29:00+00:00,"After a pump failure in one of the shore station chillers and a successful failover switch, a secondary chiller went offline during repairs and brought down power to the array. The pump has been replaced and both chillers are back online.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4632,RS01SBPD,,,,,2023-01-11 20:28:00+00:00,2023-01-13 12:02:00+00:00,"Shore Station PFEs failed during chiller repair work, bringing down the north and south lines of the array. PFEs and secondary infrastructure were brought back online following chiller part replacement and repairs.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4705,RS01SBPD,DP01A,,,,2023-04-21 04:30:00+00:00,2023-04-27 13:58:14+00:00,The Deep Profiler vehicle motor has failed leaving the profiler stuck near the top of the mooring cable. Instruments were still collecting and delivering data until 27 April.,False,m.vardaro@gmail.com,,[]
