@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5951,RS01SBPS,PC01A,4C-FLORDD103,streamed,flort_d_data_record,2014-09-29 01:53:00+00:00,2024-08-09 06:35:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[23]
.AnnotationRecord,5508,RS01SBPS,PC01A,05-ADCPTD102,,,2014-09-29 01:53:00+00:00,2015-07-07 16:12:00+00:00,"When deployed, the ADCP was configured to collect data over 40 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,5950,RS01SBPS,SF01A,3A-FLORTD101,streamed,flort_d_data_record,2014-09-29 04:43:00+00:00,2024-08-09 06:35:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[23]
.AnnotationRecord,1291,RS01SBPS,SF01A,3B-OPTAAD101,,,2014-10-06 21:48:00+00:00,2016-07-17 00:00:00+00:00,"Note: Approximately 33% of the records in raw data are shorter than the expected a few weeks into a given deployment. This causes the parser to drop the data. While most OPTAA sensors deployed are still outputting data between 2-6 months into their deployments, they tend to drop so far below their expected operating current draw that it is suspected the pumps are not running and the lamps are out. The most complete OPTAA data records should be within the first couple of weeks of deployment. Redmine 10016",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,832,RS01SBPS,SF01A,4B-VELPTD102,,,2014-10-06 23:32:23+00:00,,"According to the manufacturer, data are suspect when the instrument is tilted more than 20 degrees (measured by pitch and roll).",False,lgarzio@marine.rutgers.edu,,[]
.AnnotationRecord,3981,RS01SBPS,SF01A,4F-PCO2WA101,,,2014-10-07 01:05:10+00:00,2015-04-20 12:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,290,RS01SBPS,SF01A,4F-PCO2WA101,streamed,pco2w_a_sami_data_record,2014-10-07 01:05:10.334000+00:00,2019-01-10 00:00:00+00:00,"* UPDATED, 2019-01-15: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1 pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at  https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py. *

Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",False,wruef@uw.edu,,[931]
.AnnotationRecord,1240,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2014-10-12 03:22:11+00:00,2014-10-14 21:01:22+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1241,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2014-10-25 16:20:11+00:00,2014-10-30 17:16:26+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1242,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2014-11-02 14:29:01+00:00,2014-11-05 19:35:03+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1243,RS01SBPS,PC01A,4A-CTDPFA103,streamed,ctdpf_optode_sample,2014-11-04 16:05:51+00:00,2014-11-05 19:23:27+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1244,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2014-11-07 00:17:20+00:00,2014-11-13 22:00:52+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1245,RS01SBPS,PC01A,4A-CTDPFA103,streamed,ctdpf_optode_sample,2014-11-14 18:36:14+00:00,2014-11-17 18:22:23+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1246,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2014-11-14 18:36:18+00:00,2014-11-17 18:32:34+00:00,Cause of data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
