@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,1180,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2014-09-03 17:19:33+00:00,2014-09-17 23:06:15+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1181,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2014-11-04 16:05:51+00:00,2014-11-05 18:53:44+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1182,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2014-11-14 18:36:15+00:00,2014-11-17 18:00:27+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1183,RS01SLBS,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1184,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2014-12-07 20:59:40+00:00,2014-12-11 22:57:01+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1185,RS01SLBS,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1186,RS01SLBS,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1187,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-01-31 23:59:59+00:00,2015-02-03 09:57:03+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1188,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-03-07 23:00:45+00:00,2015-03-09 07:39:59+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1189,RS01SLBS,,,,,2015-03-21 14:10:00+00:00,2015-03-22 04:20:00+00:00,Note: PNWGP outage due to City of Seattle fiber cable work,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1190,RS01SLBS,,,,,2015-06-13 00:00:00+00:00,2015-06-15 16:30:00+00:00,Note: Network issues due to fire that damaged fibers between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1191,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-06-30 16:00:00+00:00,2015-06-30 19:00:00+00:00,unusual drop in oxygen counts,False,knuth@marine.rutgers.edu,suspect,"[964, 197, 14]"
.AnnotationRecord,1192,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-07-03 20:33:31+00:00,2015-07-05 00:00:00+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,211,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-07-06 23:22:40+00:00,2016-07-16 00:00:00+00:00,"Due to errors during vendor calibration, a calibration offset (CC_offset) of -120.6 is being applied during the on-demand creation of the L1 Seawater Pressure (dbar) data product from this instrument. For more information please contact help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[909]
.AnnotationRecord,1193,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2015-07-06 23:22:40+00:00,2015-07-14 22:39:48+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1194,RS01SLBS,,,,,2015-08-29 00:00:00+00:00,2015-08-29 00:30:00+00:00,Note: Outage during major utility power failure in Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1195,RS01SLBS,,,,,2016-01-07 06:10:00+00:00,2016-01-07 06:52:00+00:00,Note: Four 1-minute outages between Portland and Seattle due to maintenance,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1196,RS01SLBS,,,,,2016-03-10 23:06:00+00:00,2016-03-11 09:30:00+00:00,Note: Fiber break between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1197,RS01SLBS,,,,,2016-05-20 16:33:00+00:00,2016-05-20 18:04:00+00:00,Note: Fiber break between Portland and Pacific City,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1198,RS01SLBS,,,,,2016-07-12 02:53:00+00:00,2016-07-12 03:51:00+00:00,Note: Unexplained loss of power at Pittock Building in Portland,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1199,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2016-07-17 02:10:00+00:00,2016-07-18 16:33:37+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,202,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2016-07-17 23:04:21.282000+00:00,2017-07-29 03:29:00+00:00,"EDIT: Due to errors during vendor calibration, there were issues with the onboard-calculated O2 products during this deployment. The calibration files have been corrected, and the O2 values derived using the external OOI Stern-Volmer-Uchida algorithm [DO from Phase (L1 product) and DO from Phase - Corrected (L2 product)] should be considered valid. The onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1) and DO from Onboard Calculation - Corrected (L2)] should NOT be used during this time range.",False,friedrich.knuth@rutgers.edu,fail,"[964, 14]"
.AnnotationRecord,4328,RS01SLBS,LJ01A,12-DOSTAD101,,do_stable_sample,2016-07-18 00:00:00+00:00,2017-07-29 03:29:00+00:00,"Due to errors during vendor calibration, there were issues with the onboard-calculated O2 products during this deployment. The calibration files have been corrected, and the O2 values derived using the external OOI Stern-Volmer-Uchida algorithm [DO from Phase (L1 product) and DO from Phase - Corrected (L2 product)] should be considered valid. The onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1) and DO from Onboard Calculation - Corrected (L2)] should NOT be used during this time range.",False,m.vardaro@gmail.com,fail,"[964, 14]"
.AnnotationRecord,1200,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2016-10-21 12:00:00+00:00,2016-10-21 18:00:00+00:00,unusual drop in conductivity counts,False,knuth@marine.rutgers.edu,suspect,"[194, 5, 13, 910, 14]"
.AnnotationRecord,1201,RS01SLBS,,,,,2016-12-17 18:00:00+00:00,2016-12-17 19:00:00+00:00,Note: Corvalis data center lost power,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1202,RS01SLBS,,,,,2016-12-22 01:50:00+00:00,2016-12-23 12:44:00+00:00,Note: Fiber break in Portland due to train crash,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1203,RS01SLBS,,,,,2017-01-08 19:58:00+00:00,2017-01-08 21:41:00+00:00,Note: Network outage during major Seattle utility power failure,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1204,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2017-01-09 18:30:53+00:00,2017-01-11 00:23:51+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1205,RS01SLBS,,,,,2017-01-09 18:32:00+00:00,2017-01-09 21:30:00+00:00,Note: Lightning strike in Pacific City led to data interruption through isolation of both cable lines from shore station equipment.,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1206,RS01SLBS,,,,,2017-02-07 13:00:00+00:00,2017-02-07 15:00:00+00:00,Note: Outage during PNWGP 1-hour router-maintenance,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1207,RS01SLBS,,,,,2017-02-15 14:43:06+00:00,2017-02-15 17:16:00+00:00,"Note: On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified.",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1208,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2017-02-15 14:43:06+00:00,2017-02-16 21:59:05+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,2428,RS01SLBS,LJ01A,11-OPTAAC103,streamed,optaa_sample,2017-07-29 19:00:00+00:00,2017-10-05 09:00:00+00:00,Instrument deliberately deactivated until it could be put on a regular duty cycle in order to extend operations. Port powered off.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4349,RS01SLBS,LJ01A,12-CTDPFB101,streamed,ctdpf_optode_sample,2017-07-29 19:19:00+00:00,2021-08-04 20:20:00+00:00,"Analog output from the optodes is produced by using a digital to analog converter (DAC). DAC configuration was initially only done at power up or reset, but firmware version 4.6.4 began updating configuration each time the analog output value was updated to ensure long-term continuous operation. Unfortunately, this also produced a voltage jump, creating erratic noise in the output data. The firmware has been corrected, but only the onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1 product; 'ctd_tc_oxygen') and DO from Onboard Calculation - Corrected (L2 product; 'dissolved_oxygen')] should be used during this annotated time range, NOT the 'DO from Phase' data which contain the noisy analog signal.",False,m.vardaro@gmail.com,suspect,"[8109, 8110]"
.AnnotationRecord,4344,RS01SLBS,LJ01A,12-DOSTAD101,streamed,do_stable_sample,2017-07-29 19:19:00+00:00,2021-08-04 20:20:00+00:00,"Analog output from the optodes is produced by using a digital to analog converter (DAC). DAC configuration was initially only done at power up or reset, but firmware version 4.6.4 began updating configuration each time the analog output value was updated to ensure long-term continuous operation. Unfortunately, this also produced a voltage jump, creating erratic noise in the output data. The firmware has been corrected, but only the onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1 product; 'ctd_tc_oxygen') and DO from Onboard Calculation - Corrected (L2 product; 'dissolved_oxygen')] should be used during this annotated time range, NOT the 'DO from Phase' data which contain the noisy analog signal.",False,m.vardaro@gmail.com,suspect,"[8107, 8108]"
.AnnotationRecord,2425,RS01SLBS,LJ01A,10-ADCPTE101,streamed,adcp_velocity_beam,2017-09-19 00:00:01+00:00,2019-10-23 11:59:00+00:00,"Small, but regular GFD spikes began on 9/19/2017, and system current increased from ~150mA to ~400mA in late Feb/early Mar 2018. This coincided with bad beam data from one of the 4 beams.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,327,RS01SLBS,,,,,2018-01-19 03:00:01+00:00,2018-01-19 19:00:01+00:00,A brief violent storm caused loss of power to both the North and South cable lines and the deployed infrastructure during this time. For more information please contact help@oceanobservatories.org. (Redmine # 13109),False,friedrich.knuth@rutgers.edu,not_operational,[]
.AnnotationRecord,1487,RS01SLBS,,,,,2018-08-22 17:00:00+00:00,2018-08-24 20:00:00+00:00,"On Wednesday Aug 22 2018, an automatic protective shutdown of primary power to the OOI Cabled Array occurred during installation of a new chiller system. Power was restored on Aug 24. Due to loss of power to the Cabled Array marine infrastructure, data were not collected by the instruments.",False,lgarzio@marine.rutgers.edu,not_operational,[]
.AnnotationRecord,2427,RS01SLBS,LJ01A,11-OPTAAC103,streamed,optaa_sample,2019-10-04 00:00:01+00:00,2020-08-03 04:08:00+00:00,Current draw of ~850 mA when operating indicates that pump may not have been running during sampling.,False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,2426,RS01SLBS,LJ01A,10-ADCPTE101,streamed,adcp_velocity_beam,2019-10-23 11:59:01+00:00,2020-08-04 16:00:00+00:00,"ADCPTE101 had no ping response beginning on 11/4, which implied a problem with the digi. Port powered off.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2360,RS01SLBS,,,streamed,,2020-05-09 05:16:00+00:00,2020-06-01 21:38:00+00:00,"On 8 May 2020 at approximately 10:15 pm PDT, the Power Feed Equipment (PFE) at the shore station in Pacific City, OR shut down due to a critical alarm in the chilled water system that provides cooling to the PFE. This resulted in the automatic protective shutdown of the primary power source for the Regional Cabled Array, which meant the system was not collecting data.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2328,RS01SLBS,,,streamed,,2020-08-18 01:24:00+00:00,2020-08-20 20:35:00+00:00,"On 17 August 2020, at ~1824 hours PDT, the south cable line went offline due to an over-current event. Investigations into the source of the outage were initiated immediately. Following initial tests, on 20 August 2020, at ~1200 hours PDT, power was restored to Primary Node PN1A. The Slope Base site and all infrastructure at Slope Base is now operational, including the shallow and deep profilers.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2332,RS01SLBS,,,streamed,,2020-08-25 14:57:00+00:00,2020-08-26 15:44:00+00:00,"On 25 August 2020, beginning ~ 0900 hours PDT, a ~1-day test of the south cable line was initiated to help refine the fault localization. This required stopping data collection for the duration of the test at the Slope Base site. Data collection began again as soon as this test was completed.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2532,RS01SLBS,,,streamed,,2020-09-22 14:01:58+00:00,2020-09-23 00:11:00+00:00,Chiller issue during failover testing,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2525,RS01SLBS,,,streamed,,2020-11-02 00:11:32+00:00,2020-11-02 23:41:21+00:00,On Oct 31st the Southern Line was powered down in order to attempt localization of the shunt fault and plan repairs. Primary Node 1A was returned to operation on Nov 22nd.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2510,RS01SLBS,MJ01A,,streamed,,2020-12-21 09:40:11+00:00,2021-08-24 20:19:45+00:00,"The SFP+ module on the MJ01A moxa was not firing light down the fiber, so the node was receiving power but data were not being delivered. EDIT: the MJ01A switch became unresponsive and was shut down on 2021-02-05.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2636,RS01SLBS,,,streamed,,2021-01-13 10:35:58+00:00,2021-01-15 18:34:40+00:00,"Adverse weather in Pacific City, OR on 13 Jan 2021 resulted in multiple loss of power events at the cable shore station. This resulted in a fault in the emergency diesel control system and loss of power to the Cabled Array. NMS server issues were resolved and power began to be restored on 15 Jan.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3272,RS01SLBS,,,,,2021-10-05 13:45:00+00:00,2021-10-06 20:19:00+00:00,"At 06:37 PDT, power to the observatory went down due to a pump failure in Chiller #1. Chiller #2 did pick up the load, but not in time for power to automatically shut down to prevent the system from overheating.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3283,RS01SLBS,LJ01A,11-OPTAAC103,,,2021-10-13 14:08:30+00:00,2021-10-14 16:26:00+00:00,"Data error messages indicated that no files were being generated, although port power was on with nominal current (1.2 A). Data started after power cycle.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3311,RS01SLBS,,,,,2021-11-01 15:27:00+00:00,2021-11-06 00:00:00+00:00,The observatory was taken offline for a planned outage at 08:00PDT 2021-11-01 in order to perform a series of DAS experiments using the fiber optic cables and for system maintenance.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3366,RS01SLBS,LJ01A,11-OPTAAC103,,,2021-12-01 00:18:00+00:00,2022-08-08 17:19:00+00:00,"Instrument was running continuously due to port errors that seem correlated to powering the port down. On 11/8/2021, current dropped from nominal (1200 mA) to ~1000 mA. Another drop to ~740 mA happened on 11/14/2021. No comms were received from instrument upon investigation and power cycling, so the port has been powered down.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4226,RS01SLBS,,,,,2022-06-08 03:04:00+00:00,2022-06-17 22:10:00+00:00,The south line was powered down temporarily as part of the successful PN01B redeployment.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4394,RS01SLBS,LJ01A,10-ADCPTE101,streamed,,2022-08-26 05:36:00+00:00,2023-08-17 02:02:00+00:00,"ADCP is not sending data after Primary Node work. Port still has a significant ground fault, so the instrument is powered down.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,4536,RS01SLBS,,,,,2022-11-29 20:38:00+00:00,2022-12-01 23:29:00+00:00,"After a pump failure in one of the shore station chillers and a successful failover switch, a secondary chiller went offline during repairs and brought down power to the array. The pump has been replaced and both chillers are back online.",False,m.vardaro@gmail.com,not_operational,[]
