@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,1209,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2014-08-24 00:34:03+00:00,2014-08-25 16:41:39+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1210,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2014-11-04 16:05:51+00:00,2014-11-05 19:08:56+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1211,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2014-11-14 18:36:31+00:00,2014-11-17 18:09:56+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1212,RS03AXBS,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1213,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2014-12-07 20:59:39+00:00,2014-12-11 23:20:26+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1214,RS03AXBS,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1215,RS03AXBS,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1216,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2015-02-01 20:36:30+00:00,2015-02-03 09:57:14+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1217,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2015-03-07 23:01:43+00:00,2015-03-09 07:39:59+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1218,RS03AXBS,,,,,2015-03-21 14:10:00+00:00,2015-03-22 04:20:00+00:00,Note: PNWGP outage due to City of Seattle fiber cable work,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1219,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2015-03-30 17:49:58+00:00,2015-04-02 23:06:52+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1220,RS03AXBS,,,,,2015-06-13 00:00:00+00:00,2015-06-15 16:30:00+00:00,Note: Network issues due to fire that damaged fibers between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1221,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2015-07-13 05:43:00+00:00,2015-07-14 23:18:29+00:00,Data interruption.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,213,RS03AXBS,LJ03A,12-CTDPFB301,streamed,ctdpf_optode_sample,2015-07-13 05:43:00+00:00,2016-07-11 00:00:00+00:00,"Due to errors during vendor calibration, a calibration offset (CC_offset) of -111.19 is being applied during the on-demand creation of the L1 Seawater Pressure (dbar) data product from this instrument. For more information please contact help@oceanobservatories.org.",False,friedrich.knuth@rutgers.edu,,[909]
.AnnotationRecord,1222,RS03AXBS,,,,,2015-08-29 00:00:00+00:00,2015-08-29 00:30:00+00:00,Note: Outage during major utility power failure in Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1223,RS03AXBS,,,,,2016-01-07 06:10:00+00:00,2016-01-07 06:52:00+00:00,Note: Four 1-minute outages between Portland and Seattle due to maintenance,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1224,RS03AXBS,,,,,2016-03-10 23:06:00+00:00,2016-03-11 09:30:00+00:00,Note: Fiber break between Portland and Seattle,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1225,RS03AXBS,LJ03A,10-ADCPTE303,streamed,adcp_velocity_beam,2016-03-28 00:00:00+00:00,2016-07-13 00:00:00+00:00,Issues generating L1 data products due to problem with beam 4 data generation at instrument level. Redmine 10948,False,knuth@marine.rutgers.edu,suspect,"[3819, 876, 3820, 3821]"
.AnnotationRecord,1226,RS03AXBS,,,,,2016-05-20 16:33:00+00:00,2016-05-20 18:04:00+00:00,Note: Fiber break between Portland and Pacific City,False,knuth@marine.rutgers.edu,,[]
