@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5954,RS03AXPD,DP03A,03-FLCDRA302,,dpc_flcdrtd_instrument_recovered,2014-08-09 21:00:00+00:00,2024-08-27 00:00:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[2846]
.AnnotationRecord,1177,RS03AXPD,DP03A,,,,2014-08-26 06:19:13+00:00,2014-09-04 18:31:34+00:00,Note: Profiler not operating due to docking station overcurrent,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1178,RS03AXPD,DP03A,,,,2014-09-08 02:36:00+00:00,2014-09-18 18:30:24+00:00,Note: Profiler not operating due to docking station overcurrent,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1179,RS03AXPD,DP03A,,,,2014-09-28 19:57:02+00:00,2014-10-01 00:00:02+00:00,Note: Profiler not operating due to docking station overcurrent,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1492,RS03AXPD,,,,,2018-08-22 17:00:00+00:00,2018-08-24 20:00:00+00:00,"On Wednesday Aug 22 2018, an automatic protective shutdown of primary power to the OOI Cabled Array occurred during installation of a new chiller system. Power was restored on Aug 24. Due to loss of power to the Cabled Array marine infrastructure, data were not collected by the instruments.",False,lgarzio@marine.rutgers.edu,not_operational,[]
.AnnotationRecord,2517,RS03AXPD,DP03A,,,,2020-01-17 20:05:00+00:00,2020-08-19 12:00:00+00:00,"Profiler Offline: Starting mid-January 2020, the vehicle was no longer charging",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2365,RS03AXPD,,,,,2020-05-09 05:16:00+00:00,2020-06-01 21:38:00+00:00,"On 8 May 2020 at approximately 10:15 pm PDT, the Power Feed Equipment (PFE) at the shore station in Pacific City, OR shut down due to a critical alarm in the chilled water system that provides cooling to the PFE. This resulted in the automatic protective shutdown of the primary power source for the Regional Cabled Array, which meant the system was not collecting data.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2539,RS03AXPD,,,,,2020-09-22 14:01:58+00:00,2020-09-23 00:11:00+00:00,Chiller issue during failover testing,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2643,RS03AXPD,,,,,2021-01-13 10:35:58+00:00,2021-01-15 18:34:40+00:00,"Adverse weather in Pacific City, OR on 13 Jan 2021 resulted in multiple loss of power events at the cable shore station. This resulted in a fault in the emergency diesel control system and loss of power to the Cabled Array. NMS server issues were resolved and power began to be restored on 15 Jan.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,2898,RS03AXPD,DP03A,,,,2021-02-08 13:14:39+00:00,2021-08-27 05:00:00+00:00,"Vehicle stuck, possibly due to fouling of the profiling wire. Inability to dock led to battery drain and eventual inoperability.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3279,RS03AXPD,,,,,2021-10-05 13:45:00+00:00,2021-10-06 20:19:00+00:00,"At 06:37 PDT, power to the observatory went down due to a pump failure in Chiller #1. Chiller #2 did pick up the load, but not in time for power to automatically shut down to prevent the system from overheating.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3318,RS03AXPD,,,,,2021-11-01 15:27:00+00:00,2021-11-06 00:00:00+00:00,The observatory was taken offline for a planned outage at 08:00PDT 2021-11-01 in order to perform a series of DAS experiments using the fiber optic cables and for system maintenance.,False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3554,RS03AXPD,DP03A,,,,2021-12-27 00:17:00+00:00,2022-08-28 11:11:38+00:00,"The Wifi link to the vehicle was lost, so a reboot command was sent via the inductive link. The vehicle controller appeared to get into a bad state during the reboot process, so we waited for the batteries to drain to attempt a restart.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3660,RS03AXPD,,,,,2022-02-13 13:39:47+00:00,2022-02-16 00:19:00+00:00,"A primary node communications issue on PN03A and PN03B at Axial Seamount caused science ports to be turned off. The issue was investigated, and science ports were powered on again after ~48 hours.",False,m.vardaro@gmail.com,not_operational,[]
.AnnotationRecord,3670,RS03AXPD,,,,,2022-02-19 21:53:00+00:00,2022-02-22 18:08:00+00:00,"A glitch in the OOB network triggered a failsafe condition in PN03A and PN03B that cut power to the science ports on these primary nodes. As a result, instruments and nodes downstream of 3A and 3B were offline.",False,m.vardaro@gmail.com,not_operational,[]
