@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5506,RS03AXPS,PC03A,05-ADCPTD302,,,2014-09-27 13:29:00+00:00,2015-07-09 00:07:00+00:00,"When deployed, the ADCP was configured to collect data over 50 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,5949,RS03AXPS,PC03A,4C-FLORDD303,streamed,flort_d_data_record,2014-09-27 13:29:00+00:00,2024-08-11 15:42:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[23]
.AnnotationRecord,5948,RS03AXPS,SF03A,3A-FLORTD301,streamed,flort_d_data_record,2014-09-27 18:33:00+00:00,2024-08-11 15:42:00+00:00,"Through internal validation and user input, Sea-Bird Scientific discovered all CDOM sensors calibrated prior to 2023 were affected by improperly prepared primary standards. Sea-Bird provided corrected scale factors for all relevant calibration events and new coefficients have been entered into the OOI system as of July 2025. All derived L1 and L2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct calibration values.",False,m.vardaro@gmail.com,,[23]
.AnnotationRecord,1292,RS03AXPS,SF03A,4B-VELPTD302,streamed,velpt_velocity_data,2014-10-07 22:03:43+00:00,2017-07-30 14:00:00+00:00,"Velocities are suspect due to noisy data during deployments 1 and 2. Ground faults possibly contributing to the noise. Transmit power was increased well above open ocean setting to mitigate the issue, but data remain suspect. For more information please contact help@oceanobservatories.org. Redmine 8648 and 8649. ",False,knuth@marine.rutgers.edu,suspect,[]
.AnnotationRecord,833,RS03AXPS,SF03A,4B-VELPTD302,,,2014-10-07 22:03:43+00:00,,"According to the manufacturer, data are suspect when the instrument is tilted more than 20 degrees (measured by pitch and roll).",False,lgarzio@marine.rutgers.edu,,[]
.AnnotationRecord,4011,RS03AXPS,SF03A,4F-PCO2WA301,,,2014-10-07 23:05:10+00:00,2014-10-14 20:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,270,RS03AXPS,SF03A,4F-PCO2WA301,streamed,pco2w_a_sami_data_record,2014-10-07 23:05:10.342000+00:00,2018-07-02 04:47:41.576000+00:00,"* UPDATED, 2019-01-15: After careful review, the original data product algorithm (pco2_pco2wat) for this sensor was found to contain an error that resulted in calculation of incorrect derived L1 pCO2 values. In consultation with the vendor, the algorithm has been corrected, verified, and uploaded to the OOI system. This update, effective 2019-01-10, applies to all deployments for this sensor. All derived L1 pCO2 data products generated prior to this date should be re-requested in order to ensure utilization of the correct algorithm.  The updated algorithm can be viewed at  https://github.com/oceanobservatories/ion-functions/blob/master/ion_functions/data/co2_functions.py. *

Until further notice, derived L1 pCO2 data products from this sensor are incorrect and should not be used. A significant discrepancy has been uncovered between the pCO2 values from shipboard water samples vs. values calculated by OOI system. The pco2_pco2wat algorithm is under review and can be viewed at https://github.com/ooici/ion-functions/blob/master/ion_functions/data/co2_functions.py. To receive instant notification of updates to the code, add yourself as a watcher to the GitHub repository linked above. For further questions please email help@oceanobservatories.org.",False,wruef@uw.edu,,[931]
.AnnotationRecord,1293,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2014-10-30 05:47:42+00:00,2014-12-03 22:52:26+00:00,Data gap under investigation. Redmine 12133,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1294,RS03AXPS,PC03A,4A-CTDPFA303,streamed,ctdpf_optode_sample,2014-11-04 16:05:51+00:00,2014-11-05 19:32:18+00:00,Data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1295,RS03AXPS,PC03A,4A-CTDPFA303,streamed,ctdpf_optode_sample,2014-11-14 18:36:30+00:00,2014-11-17 18:24:38+00:00,Data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1296,RS03AXPS,,,,,2014-12-07 19:45:00+00:00,2014-12-16 00:00:00+00:00,"Note: PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1297,RS03AXPS,PC03A,4A-CTDPFA303,streamed,ctdpf_optode_sample,2014-12-07 20:59:39+00:00,2014-12-16 21:17:45+00:00,Data gap under investigation.,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,1298,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2014-12-07 20:59:39+00:00,2014-12-16 18:07:01+00:00,Data gap under investigation. Redmine 12133,False,knuth@marine.rutgers.edu,not_available,[]
.AnnotationRecord,3987,RS03AXPS,PC03A,4B-PHSENA302,,,2014-12-08 00:00:00+00:00,2015-01-07 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1299,RS03AXPS,,,,,2015-01-07 07:32:00+00:00,2015-01-07 08:06:00+00:00,Note: PNWGP Portland <-> Seattle outage,False,knuth@marine.rutgers.edu,,[]
.AnnotationRecord,1300,RS03AXPS,,,,,2015-01-31 00:00:00+00:00,2015-02-04 00:00:00+00:00,Note: Intermittent partial data loss due to storage drive problems at OTB,False,knuth@marine.rutgers.edu,,[]
