@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,parameters_affected,reasoning
.AnnotationRecord,3808,CE02SHBP,LJ01D,09-PCO2WB103,,,2014-12-08 00:00:00+00:00,2015-01-09 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3809,CE02SHBP,LJ01D,09-PCO2WB103,,,2015-02-01 03:00:00+00:00,2015-02-03 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4551,CE02SHBP,LJ01D,06-CTDBPN106,,,2015-03-02 20:18:00+00:00,2015-03-30 18:19:00+00:00,Onboard-calculated and phase-derived oxygen values are both incorrect during this time period. Do not use.,False,m.vardaro@gmail.com,fail,[],['corrected_dissolved_oxygen'],Both onboard and phase-derived oxygen incorrect; do not use.
.AnnotationRecord,3810,CE02SHBP,LJ01D,09-PCO2WB103,,,2015-03-08 00:00:00+00:00,2015-03-09 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3811,CE02SHBP,LJ01D,09-PCO2WB103,,,2015-04-27 21:00:00+00:00,2015-05-01 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4552,CE02SHBP,LJ01D,06-CTDBPN106,,,2015-06-17 00:06:00+00:00,2015-06-22 23:54:00+00:00,Onboard-calculated and phase-derived oxygen values are both incorrect during this time period. Do not use.,False,m.vardaro@gmail.com,fail,[],['corrected_dissolved_oxygen'],Both onboard and phase-derived oxygen incorrect; do not use.
.AnnotationRecord,3812,CE02SHBP,LJ01D,09-PCO2WB103,,,2015-07-09 03:00:00+00:00,2015-07-31 12:06:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,91,CE02SHBP,LJ01D,09-PCO2WB103,streamed,pco2w_b_sami_data_record,2015-08-02 00:05:10.133000+00:00,2016-02-20 20:05:10.871000+00:00,"Incorrect calibration values under investigation. Data suspect. For more information, contact help@oceanobservatories.org.",False,m.vardaro@gmail.com,suspect,[],['pco2_seawater'],Incorrect calibration values under investigation; pCO2 suspect.
.AnnotationRecord,3813,CE02SHBP,LJ01D,09-PCO2WB103,,,2016-12-22 03:00:00+00:00,2016-12-23 17:06:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3814,CE02SHBP,LJ01D,09-PCO2WB103,,,2017-01-09 21:00:00+00:00,2017-01-11 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3815,CE02SHBP,LJ01D,09-PCO2WB103,,,2017-02-15 18:00:00+00:00,2017-02-17 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3816,CE02SHBP,LJ01D,09-PCO2WB103,,,2017-08-09 21:00:00+00:00,2017-08-11 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3817,CE02SHBP,LJ01D,09-PCO2WB103,,,2017-08-25 00:00:00+00:00,2017-08-29 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3818,CE02SHBP,LJ01D,09-PCO2WB103,,,2017-09-09 06:00:00+00:00,2017-09-10 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,4352,CE02SHBP,LJ01D,06-CTDBPN106,streamed,ctdbp_no_sample,2017-09-10 15:51:00+00:00,2020-08-12 21:24:00+00:00,"Analog output from the optodes is produced by using a digital to analog converter (DAC). DAC configuration was initially only done at power up or reset, but firmware version 4.6.4 began updating configuration each time the analog output value was updated to ensure long-term continuous operation. Unfortunately, this also produced a voltage jump, creating erratic noise in the output data. The firmware has been corrected, but only the onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1 product; 'ctd_tc_oxygen') and DO from Onboard Calculation - Corrected (L2 product; 'dissolved_oxygen')] should be used during this annotated time range, NOT the 'DO from Phase' data which contain the noisy analog signal.",False,m.vardaro@gmail.com,suspect,"[8109, 8110]",['corrected_dissolved_oxygen'],Optode DAC firmware noise in phase-derived DO; onboard product spliced in (see DO_SPLICE_WINDOWS).
.AnnotationRecord,3819,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-01-19 06:00:00+00:00,2018-01-22 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3820,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-03-11 00:00:00+00:00,2018-03-12 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3821,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-05-13 12:00:00+00:00,2018-05-14 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3822,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-05-23 03:00:00+00:00,2018-07-10 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3823,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-08-22 21:00:00+00:00,2018-08-31 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3824,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-09-13 18:00:00+00:00,2018-09-14 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3825,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-09-28 06:00:00+00:00,2018-10-11 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3826,CE02SHBP,LJ01D,09-PCO2WB103,,,2018-10-18 12:00:00+00:00,2018-10-19 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,1548,CE02SHBP,LJ01D,06-CTDBPN106,streamed,ctdbp_no_sample,2018-12-16 23:43:07+00:00,2019-01-14 21:19:29+00:00,"An anomalous drop in conductivity values from this sensor was observed, beginning in Dec. 2018. Scientific and technical analysis determined that it was likely due to a clogged conductivity cell. Power to the CTD pump was cycled on 2019-01-14, which appeared to resolve the issue and bring conductivity back into a reasonable range. Conductivity, salinity, density and salinity-corrected DO data products from this sensor should be considered suspect during this time range. A subsequent drop in conductivity values on 2019-01-18 indicates the issue may have reoccurred, so investigation is ongoing. ",False,m.vardaro@gmail.com,suspect,"[3648, 5, 13, 14]","['sea_water_practical_salinity', 'sea_water_density', 'corrected_dissolved_oxygen']","Conductivity drop/clog makes conductivity-derived salinity, density, and DO suspect."
.AnnotationRecord,3827,CE02SHBP,LJ01D,09-PCO2WB103,,,2019-06-20 03:00:00+00:00,2019-06-23 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3828,CE02SHBP,LJ01D,09-PCO2WB103,,,2019-07-26 15:00:00+00:00,2019-07-30 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
