@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,parameters_affected,reasoning
.AnnotationRecord,3857,CE04OSBP,LJ01C,10-PHSEND107,,,2014-08-31 21:00:00+00:00,2014-09-22 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3831,CE04OSBP,LJ01C,09-PCO2WB104,,,2014-08-31 21:00:00+00:00,2014-09-23 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3858,CE04OSBP,LJ01C,10-PHSEND107,,,2014-09-30 09:00:00+00:00,2014-10-05 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3859,CE04OSBP,LJ01C,10-PHSEND107,,,2014-10-06 12:00:00+00:00,2014-10-08 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3860,CE04OSBP,LJ01C,10-PHSEND107,,,2014-10-10 12:00:00+00:00,2014-11-10 20:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3832,CE04OSBP,LJ01C,09-PCO2WB104,,,2014-12-08 00:00:00+00:00,2014-12-29 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3833,CE04OSBP,LJ01C,09-PCO2WB104,,,2015-02-02 00:00:00+00:00,2015-02-03 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3834,CE04OSBP,LJ01C,09-PCO2WB104,,,2015-03-08 00:00:00+00:00,2015-03-09 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,3835,CE04OSBP,LJ01C,09-PCO2WB104,,,2015-07-31 21:00:00+00:00,2015-08-04 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['pco2_seawater'],HITL review and automated QC determined data are inaccurate during this period.
.AnnotationRecord,90,CE04OSBP,LJ01C,09-PCO2WB104,streamed,pco2w_b_sami_data_record,2015-08-03 00:05:10.134000+00:00,2017-08-17 20:05:11.220000+00:00,Calibration values under review. Data suspect. Contact help@oceanobservatories.org for further information.,False,wruef@uw.edu,suspect,[931],['pco2_seawater'],Calibration values under review; pCO2 suspect.
