@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,3897,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-01-31 03:00:00+00:00,2015-02-05 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3898,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-03-08 03:00:00+00:00,2015-03-09 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3899,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-07-15 15:00:00+00:00,2015-08-05 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1040,CE04OSPS,SF01B,2A-CTDPFA107,streamed,,2015-08-03 02:21:00+00:00,2016-07-18 00:00:00+00:00,"All CTD data from this 2015-2016 deployment are suspect due to flow issues, which indicate a possible pump failure. Investigation is ongoing.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,1041,CE04OSPS,PC01B,4A-CTDPFA109,streamed,ctdpf_optode_sample,2015-08-03 23:59:59+00:00,2015-08-05 06:47:21+00:00,"Parameters: oxygen, ctd_tc_oxygen, dissolved_oxygen. Values are too high at start of deployment and exceeded 400 umol L-1 (kg-1 for DO). Redmine 12297",False,knuth@marine.rutgers.edu,suspect,"[964, 197, 14]"
.AnnotationRecord,3900,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-08-30 03:00:00+00:00,2015-09-01 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3873,CE04OSPS,PC01B,4B-PHSENA106,,,2015-10-03 00:00:00+00:00,2016-01-04 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3901,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-10-20 03:00:00+00:00,2015-10-28 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3902,CE04OSPS,PC01B,4D-PCO2WA105,,,2015-12-28 06:00:00+00:00,2016-01-04 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3874,CE04OSPS,PC01B,4B-PHSENA106,,,2016-01-07 15:00:00+00:00,2016-01-14 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3903,CE04OSPS,PC01B,4D-PCO2WA105,,,2016-02-27 18:00:00+00:00,2016-02-29 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3875,CE04OSPS,PC01B,4B-PHSENA106,,,2016-02-27 18:00:00+00:00,2016-02-28 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3876,CE04OSPS,PC01B,4B-PHSENA106,,,2016-04-07 03:00:00+00:00,2016-04-08 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3877,CE04OSPS,PC01B,4B-PHSENA106,,,2016-06-21 06:00:00+00:00,2016-07-19 08:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3904,CE04OSPS,PC01B,4D-PCO2WA105,,,2016-07-13 06:00:00+00:00,2016-07-19 09:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,200,CE04OSPS,PC01B,4A-CTDPFA109,streamed,ctdpf_optode_sample,2016-07-18 12:51:58.991000+00:00,2017-07-28 12:13:40.463000+00:00,"EDIT: Due to errors during vendor calibration, there were issues with the onboard-calculated O2 products during this deployment. The calibration files have been corrected, and the O2 values derived using the external OOI Stern-Volmer-Uchida algorithm [DO from Phase (L1 product) and DO from Phase - Corrected (L2 product)] should be considered valid. The onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1) and DO from Onboard Calculation - Corrected (L2)] should NOT be used during this time range.",False,friedrich.knuth@rutgers.edu,fail,"[964, 14]"
.AnnotationRecord,4325,CE04OSPS,PC01B,4A-DOSTAD109,,do_stable_sample,2016-07-18 13:53:20+00:00,2017-07-28 11:06:40+00:00,"Due to errors during vendor calibration, there were issues with the onboard-calculated O2 products during this deployment. The calibration files have been corrected, and the O2 values derived using the external OOI Stern-Volmer-Uchida algorithm [DO from Phase (L1 product) and DO from Phase - Corrected (L2 product)] should be considered valid. The onboard-calculated Stern-Volmer values [DO from Onboard Calculation (L1) and DO from Onboard Calculation - Corrected (L2)] should NOT be used during this time range.",False,m.vardaro@gmail.com,fail,"[964, 14]"
.AnnotationRecord,1063,CE04OSPS,SF01B,2A-CTDPFA107,streamed,ctdpf_sbe43_sample,2016-07-19 00:00:00+00:00,2017-07-27 23:31:07+00:00,"Parameters: corrected_dissolved_oxygen, ext_volt0. Suspect values due to possible sensor malfunction. ",False,wruef@uw.edu,suspect,"[3777, 2310]"
.AnnotationRecord,3917,CE04OSPS,SF01B,2B-PHSENA108,,,2016-08-05 21:00:00+00:00,2016-08-07 10:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3918,CE04OSPS,SF01B,2B-PHSENA108,,,2016-08-15 01:00:00+00:00,2016-09-01 09:43:04+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3919,CE04OSPS,SF01B,2B-PHSENA108,,,2016-09-04 08:49:55+00:00,2016-10-07 08:49:55+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3905,CE04OSPS,PC01B,4D-PCO2WA105,,,2016-12-22 03:00:00+00:00,2016-12-23 12:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
