@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,parameters_affected,reasoning
.AnnotationRecord,3981,RS01SBPS,SF01A,4F-PCO2WA101,,,2014-10-07 01:05:10+00:00,2015-04-20 12:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],"['pco2_seawater', 'partial_pressure_co2_ssw', 'xco2_atm']",HITL review flagged the data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,3963,RS01SBPS,SF01A,2D-PHSENA101,,,2014-11-17 23:00:00+00:00,2015-06-13 07:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,3982,RS01SBPS,SF01A,4F-PCO2WA101,,,2015-04-24 22:05:10+00:00,2015-05-26 16:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],"['pco2_seawater', 'partial_pressure_co2_ssw', 'xco2_atm']",HITL review flagged the data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,3964,RS01SBPS,SF01A,2D-PHSENA101,,,2015-06-14 12:00:00+00:00,2015-06-16 07:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,3983,RS01SBPS,SF01A,4F-PCO2WA101,,,2015-06-15 17:05:10+00:00,2015-06-17 21:44:19+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],"['pco2_seawater', 'partial_pressure_co2_ssw', 'xco2_atm']",HITL review flagged the data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,1370,RS01SBPS,SF01A,4A-NUTNRA101,streamed,nutnr_a_sample,2015-07-08 22:22:01.974000+00:00,2016-02-05 02:00:11.695000+00:00,This instrument was deployed with onboard processing set to freshwater mode leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD. Redmine: 8659,False,friedrich.knuth@rutgers.edu,suspect,"[2320, 315]",['nitrate_concentration'],Instrument deployed in freshwater mode produced an invalid L1 dissolved nitrate concentration product (suspect).
.AnnotationRecord,572,RS01SBPS,SF01A,4A-NUTNRA101,streamed,nutnr_a_sample,2015-07-08 22:22:01.974000+00:00,2016-02-05 02:00:11.695000+00:00,This instrument was deployed with onboard processing set to freshwater mode leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD. Redmine: 8659...,False,friedrich.knuth@rutgers.edu,suspect,"[2320, 315]",['nitrate_concentration'],Instrument deployed in freshwater mode produced an invalid L1 dissolved nitrate concentration product (suspect).
.AnnotationRecord,3965,RS01SBPS,SF01A,2D-PHSENA101,,,2015-07-30 11:00:00+00:00,2016-07-18 22:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,1265,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2015-12-15 19:00:00+00:00,2016-01-07 09:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Lower-than-usual L0 conductivity makes salinity, oxygen, and density products suspect."
.AnnotationRecord,1267,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2016-03-06 05:00:00+00:00,2016-03-09 07:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Lower-than-usual L0 conductivity makes salinity, oxygen, and density products suspect."
.AnnotationRecord,1269,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2016-03-14 22:00:00+00:00,2016-03-20 10:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Lower-than-usual L0 conductivity makes salinity, oxygen, and density products suspect."
.AnnotationRecord,1270,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2016-04-01 19:00:00+00:00,2016-04-14 08:00:00+00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[3777],"['sea_water_temperature', 'sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']",Lower-than-usual values throughout the water column make all CTD measurements suspect.
.AnnotationRecord,1272,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2016-05-07 02:00:00+00:00,2016-05-10 06:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Lower-than-usual L0 conductivity makes salinity, oxygen, and density products suspect."
.AnnotationRecord,1273,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2016-05-17 17:00:00+00:00,2016-05-25 08:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Lower-than-usual L0 conductivity makes salinity, oxygen, and density products suspect."
