@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5508,RS01SBPS,PC01A,05-ADCPTD102,,,2014-09-29 01:53:00+00:00,2015-07-07 16:12:00+00:00,"When deployed, the ADCP was configured to collect data over 40 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,3981,RS01SBPS,SF01A,4F-PCO2WA101,,,2014-10-07 01:05:10+00:00,2015-04-20 12:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3963,RS01SBPS,SF01A,2D-PHSENA101,,,2014-11-17 23:00:00+00:00,2015-06-13 07:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3934,RS01SBPS,PC01A,4B-PHSENA102,,,2014-11-22 03:00:00+00:00,2014-12-16 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3935,RS01SBPS,PC01A,4B-PHSENA102,,,2015-02-02 00:00:00+00:00,2015-02-03 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3936,RS01SBPS,PC01A,4B-PHSENA102,,,2015-02-10 21:00:00+00:00,2015-03-03 03:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3937,RS01SBPS,PC01A,4B-PHSENA102,,,2015-03-08 03:00:00+00:00,2015-03-09 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3982,RS01SBPS,SF01A,4F-PCO2WA101,,,2015-04-24 22:05:10+00:00,2015-05-26 16:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3938,RS01SBPS,PC01A,4B-PHSENA102,,,2015-05-21 00:00:00+00:00,2015-07-08 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3964,RS01SBPS,SF01A,2D-PHSENA101,,,2015-06-14 12:00:00+00:00,2015-06-16 07:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3983,RS01SBPS,SF01A,4F-PCO2WA101,,,2015-06-15 17:05:10+00:00,2015-06-17 21:44:19+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,5509,RS01SBPS,PC01A,05-ADCPTD102,,,2015-07-07 16:12:01+00:00,2016-07-18 17:24:12+00:00,"When deployed, the ADCP was configured to collect data over 30 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,1370,RS01SBPS,SF01A,4A-NUTNRA101,streamed,nutnr_a_sample,2015-07-08 22:22:01.974000+00:00,2016-02-05 02:00:11.695000+00:00,This instrument was deployed with onboard processing set to freshwater mode leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD. Redmine: 8659,False,friedrich.knuth@rutgers.edu,suspect,"[2320, 315]"
.AnnotationRecord,572,RS01SBPS,SF01A,4A-NUTNRA101,streamed,nutnr_a_sample,2015-07-08 22:22:01.974000+00:00,2016-02-05 02:00:11.695000+00:00,This instrument was deployed with onboard processing set to freshwater mode leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD. Redmine: 8659...,False,friedrich.knuth@rutgers.edu,suspect,"[2320, 315]"
.AnnotationRecord,3965,RS01SBPS,SF01A,2D-PHSENA101,,,2015-07-30 11:00:00+00:00,2016-07-18 22:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1265,RS01SBPS,SF01A,2A-CTDPFA102,streamed,ctdpf_sbe43_sample,2015-12-15 19:00:00+00:00,2016-01-07 09:00:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the salinity, oxygen, and density products suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]"
.AnnotationRecord,3939,RS01SBPS,PC01A,4B-PHSENA102,,,2015-12-23 06:00:00+00:00,2016-07-18 15:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
