@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters,parameters_affected,reasoning
.AnnotationRecord,4011,RS03AXPS,SF03A,4F-PCO2WA301,,,2014-10-07 23:05:10+00:00,2014-10-14 20:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],"['pco2_seawater', 'partial_pressure_co2_ssw', 'xco2_atm']",HITL review flagged the pCO2 data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,4003,RS03AXPS,SF03A,2D-PHSENA301,,,2015-02-15 14:00:00+00:00,2015-03-14 22:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,4004,RS03AXPS,SF03A,2D-PHSENA301,,,2015-03-29 02:00:00+00:00,2015-03-30 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,4716,RS03AXPS,SF03A,4A-NUTNRA301,,,2015-04-01 18:00:00+00:00,2015-07-08 19:07:00+00:00,"Onboard processing was set to freshwater mode following an instrument reset, leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product ('Nitrate Concentration - Temp and Sal Corrected') is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD.",False,m.vardaro@gmail.com,suspect,[],['salinity_corrected_nitrate'],Freshwater-mode onboard processing produced an invalid L1 nitrate product (qcFlag suspect); the salinity/temperature-corrected L2 nitrate product is unaffected.
.AnnotationRecord,4005,RS03AXPS,SF03A,2D-PHSENA301,,,2015-04-04 06:00:00+00:00,2016-07-12 22:17:31+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],['ph_seawater'],HITL review flagged the pH data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,1350,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2015-06-04 12:00:00+00:00,2015-07-08 19:00:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777],"['sea_water_temperature', 'sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Values are within plausible ranges but lower than usual, making the data suspect (qcFlag suspect)."
.AnnotationRecord,4012,RS03AXPS,SF03A,4F-PCO2WA301,,,2015-10-30 00:05:10+00:00,2016-07-14 22:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[],"['pco2_seawater', 'partial_pressure_co2_ssw', 'xco2_atm']",HITL review flagged the pCO2 data as inaccurate (qcFlag fail) and advises against use in analysis.
.AnnotationRecord,1318,RS03AXPS,SF03A,4A-NUTNRA301,streamed,nutnr_a_sample,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[18],"['salinity_corrected_nitrate', 'nitrate_concentration']",Unusually low L0 conductivity from the co-located CTD makes nitrate suspect (qcFlag suspect).
.AnnotationRecord,1315,RS03AXPS,SF03A,2D-PHSENA301,streamed,phsen_data_record,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[939],['ph_seawater'],Unusually low L0 conductivity from the co-located CTD makes pH suspect (qcFlag suspect).
.AnnotationRecord,1351,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'sea_water_density']",Unusually low L0 conductivity makes salinity and density suspect (qcFlag suspect).
.AnnotationRecord,1352,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]","['sea_water_practical_salinity', 'sea_water_density']",Unusually low L0 conductivity makes salinity and density suspect (qcFlag suspect).
.AnnotationRecord,1326,RS03AXPS,SF03A,2D-PHSENA301,streamed,phsen_data_record,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[939],['ph_seawater'],Unusually low L0 conductivity from the co-located CTD makes pH suspect (qcFlag suspect).
.AnnotationRecord,1329,RS03AXPS,SF03A,4A-NUTNRA301,streamed,nutnr_a_sample,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[18],"['salinity_corrected_nitrate', 'nitrate_concentration']",Unusually low L0 conductivity from the co-located CTD makes nitrate suspect (qcFlag suspect).
.AnnotationRecord,1353,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-05-06 11:32:00+00:00,2016-05-06 21:26:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777],"['sea_water_temperature', 'sea_water_practical_salinity', 'corrected_dissolved_oxygen', 'sea_water_density']","Values are within plausible ranges but lower than usual, making the data suspect (qcFlag suspect)."
