@class,id,subsite,node,sensor,method,stream,beginDT,endDT,annotation,exclusionFlag,source,qcFlag,parameters
.AnnotationRecord,5506,RS03AXPS,PC03A,05-ADCPTD302,,,2014-09-27 13:29:00+00:00,2015-07-09 00:07:00+00:00,"When deployed, the ADCP was configured to collect data over 50 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,1292,RS03AXPS,SF03A,4B-VELPTD302,streamed,velpt_velocity_data,2014-10-07 22:03:43+00:00,2017-07-30 14:00:00+00:00,"Velocities are suspect due to noisy data during deployments 1 and 2. Ground faults possibly contributing to the noise. Transmit power was increased well above open ocean setting to mitigate the issue, but data remain suspect. For more information please contact help@oceanobservatories.org. Redmine 8648 and 8649. ",False,knuth@marine.rutgers.edu,suspect,[]
.AnnotationRecord,4011,RS03AXPS,SF03A,4F-PCO2WA301,,,2014-10-07 23:05:10+00:00,2014-10-14 20:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3987,RS03AXPS,PC03A,4B-PHSENA302,,,2014-12-08 00:00:00+00:00,2015-01-07 21:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3988,RS03AXPS,PC03A,4B-PHSENA302,,,2015-02-02 00:00:00+00:00,2015-02-03 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,4003,RS03AXPS,SF03A,2D-PHSENA301,,,2015-02-15 14:00:00+00:00,2015-03-14 22:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3989,RS03AXPS,PC03A,4B-PHSENA302,,,2015-03-08 03:00:00+00:00,2015-03-09 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,4004,RS03AXPS,SF03A,2D-PHSENA301,,,2015-03-29 02:00:00+00:00,2015-03-30 06:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,4716,RS03AXPS,SF03A,4A-NUTNRA301,,,2015-04-01 18:00:00+00:00,2015-07-08 19:07:00+00:00,"Onboard processing was set to freshwater mode following an instrument reset, leading to an invalid L1 Dissolved Nitrate Concentration data product. The L2 version of the data product ('Nitrate Concentration - Temp and Sal Corrected') is unaffected by that onboard setting as it is calculated using the L0 data with salinity and temperature from a co-located CTD.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,4005,RS03AXPS,SF03A,2D-PHSENA301,,,2015-04-04 06:00:00+00:00,2016-07-12 22:17:31+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,3990,RS03AXPS,PC03A,4B-PHSENA302,,,2015-05-13 06:00:00+00:00,2015-05-14 12:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1350,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2015-06-04 12:00:00+00:00,2015-07-08 19:00:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777]
.AnnotationRecord,3991,RS03AXPS,PC03A,4B-PHSENA302,,,2015-07-08 21:00:00+00:00,2015-07-10 00:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,5507,RS03AXPS,PC03A,05-ADCPTD302,,,2015-07-09 00:07:01+00:00,2016-07-14 21:18:00+00:00,"When deployed, the ADCP was configured to collect data over 30 bins, rather than the specified 28 bins.",False,m.vardaro@gmail.com,suspect,[]
.AnnotationRecord,3992,RS03AXPS,PC03A,4B-PHSENA302,,,2015-08-25 21:00:00+00:00,2015-08-28 18:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,4012,RS03AXPS,SF03A,4F-PCO2WA301,,,2015-10-30 00:05:10+00:00,2016-07-14 22:05:10+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1316,RS03AXPS,SF03A,3A-FLORTD301,streamed,flort_d_data_record,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[21, 25]"
.AnnotationRecord,1318,RS03AXPS,SF03A,4A-NUTNRA301,streamed,nutnr_a_sample,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[18]
.AnnotationRecord,1315,RS03AXPS,SF03A,2D-PHSENA301,streamed,phsen_data_record,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[939]
.AnnotationRecord,1351,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]"
.AnnotationRecord,1317,RS03AXPS,SF03A,3B-OPTAAD301,streamed,optaa_sample,2016-02-18 09:20:00+00:00,2016-03-09 04:42:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[19, 20]"
.AnnotationRecord,1320,RS03AXPS,PC03A,4A-CTDPFA303,streamed,ctdpf_optode_sample,2016-03-17 03:52:05+00:00,2016-04-10 20:46:12+00:00,unusually low L0 conductivity measurements make these parameters suspect.,False,knuth@marine.rutgers.edu,suspect,"[194, 5, 13, 14, 910]"
.AnnotationRecord,1321,RS03AXPS,PC03A,4B-PHSENA302,streamed,phsen_data_record,2016-03-17 03:52:05+00:00,2016-04-10 20:46:12+00:00,abruptly low L0 conductivity from the CTD measurements make this parameter suspect.,False,knuth@marine.rutgers.edu,suspect,[939]
.AnnotationRecord,1322,RS03AXPS,PC03A,4C-FLORDD303,streamed,flort_d_data_record,2016-03-17 03:52:05+00:00,2016-04-10 20:46:12+00:00,abruptly low L0 conductivity from the CTD measurements make these parameters suspect.,False,knuth@marine.rutgers.edu,suspect,"[21, 25]"
.AnnotationRecord,1327,RS03AXPS,SF03A,3A-FLORTD301,streamed,flort_d_data_record,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[21, 25]"
.AnnotationRecord,1352,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[3777, 194, 5, 13, 910]"
.AnnotationRecord,1326,RS03AXPS,SF03A,2D-PHSENA301,streamed,phsen_data_record,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[939]
.AnnotationRecord,1328,RS03AXPS,SF03A,3B-OPTAAD301,streamed,optaa_sample,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,"[19, 20]"
.AnnotationRecord,1329,RS03AXPS,SF03A,4A-NUTNRA301,streamed,nutnr_a_sample,2016-04-25 02:24:00+00:00,2016-05-01 15:30:00+00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values from the CTD throughout the entire water column during this time period make the values suspect.",False,knuth@marine.rutgers.edu,suspect,[18]
.AnnotationRecord,1353,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-05-06 11:32:00+00:00,2016-05-06 21:26:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777]
.AnnotationRecord,1334,RS03AXPS,PC03A,4C-FLORDD303,streamed,flort_d_data_record,2016-06-05 16:46:02+00:00,2016-06-20 18:53:51+00:00,abruptly low L0 conductivity from the CTD measurements make these parameters suspect.,False,knuth@marine.rutgers.edu,suspect,"[21, 25]"
.AnnotationRecord,1332,RS03AXPS,PC03A,4A-CTDPFA303,streamed,ctdpf_optode_sample,2016-06-05 16:46:02+00:00,2016-06-20 18:53:51+00:00,unusually low L0 conductivity measurements make these parameters suspect.,False,knuth@marine.rutgers.edu,suspect,"[194, 5, 13, 910, 14]"
.AnnotationRecord,1333,RS03AXPS,PC03A,4B-PHSENA302,streamed,phsen_data_record,2016-06-05 16:46:02+00:00,2016-06-20 18:53:51+00:00,abruptly low L0 conductivity from the CTD measurements make this parameter suspect.,False,knuth@marine.rutgers.edu,suspect,[939]
.AnnotationRecord,1354,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-06-10 17:47:00+00:00,2016-06-12 14:01:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777]
.AnnotationRecord,1355,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-07-07 22:49:31+00:00,2016-07-09 15:29:12+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777]
.AnnotationRecord,4006,RS03AXPS,SF03A,2D-PHSENA301,,,2016-07-19 01:00:00+00:00,2016-07-29 17:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,4007,RS03AXPS,SF03A,2D-PHSENA301,,,2016-08-20 02:00:00+00:00,2016-11-28 11:00:00+00:00,HITL review and automated quality assessments determined that the data during this time period are inaccurate. Avoid using the highlighted data in any analysis.,False,m.vardaro@gmail.com,fail,[]
.AnnotationRecord,1356,RS03AXPS,SF03A,2A-CTDPFA302,streamed,ctdpf_sbe43_sample,2016-08-30 15:06:00+00:00,2016-09-04 01:39:00+00:00,"Data values are within plausible ranges, but lower than usual values during this time period make the data suspect.",False,friedrich.knuth@rutgers.edu,suspect,[3777]
